SCLK,AccTime,CTN,CETN,LMST,UTC,Table_Odom,X,Y,Z
489374035,200,112.0,25.05,01035:12:26:59:70205,2015-07-05T13:30:27,10851.13,-276694.015,8142571.606,-4447.559662
489374055,201,107.01,21.94,01035:12:27:19:16712,2015-07-05T13:30:47,10851.31,-276694.015,8142571.606,-4447.559662
489374075,200,93.25,24.35,01035:12:27:38:63219,2015-07-05T13:31:07,10851.48,-276694.015,8142571.606,-4447.559662
489374095,201,94.48,22.84,01035:12:27:58:09725,2015-07-05T13:31:27,10851.66,-276694.015,8142571.606,-4447.559662
489374115,200,87.95,21.35,01035:12:28:17:56232,2015-07-05T13:31:47,10851.83,-276694.015,8142571.606,-4447.559662
489374136,202,82.62,23.51,01035:12:28:38:00065,2015-07-05T13:32:08,10852.01,-276694.015,8142571.606,-4447.559662
489374156,201,83.48,24.68,01035:12:28:57:46572,2015-07-05T13:32:28,10852.18,-276694.015,8142571.606,-4447.559662
489374176,200,85.65,23.2,01035:12:29:16:93079,2015-07-05T13:32:48,10852.36,-276694.015,8142571.606,-4447.559662
489374196,201,83.33,21.29,01035:12:29:36:39586,2015-07-05T13:33:08,10852.53,-276694.015,8142571.606,-4447.559662
489375257,202,86.93,22.23,01035:12:46:49:01780,2015-07-05T13:50:49,10852.71,-276693.4819,8142572.361,-4447.43805
489375277,201,85.07,22.79,01035:12:47:08:48287,2015-07-05T13:51:09,10852.88,-276693.4819,8142572.361,-4447.43805
489375297,200,84.85,21.55,01035:12:47:27:94794,2015-07-05T13:51:29,10853.06,-276693.4819,8142572.361,-4447.43805
489375317,201,85.92,25.77,01035:12:47:47:41301,2015-07-05T13:51:49,10853.23,-276693.4819,8142572.361,-4447.43805
489375337,200,77.9,24.6,01035:12:48:06:87808,2015-07-05T13:52:09,10853.4,-276693.4819,8142572.361,-4447.43805
489375357,201,76.72,21.39,01035:12:48:26:34315,2015-07-05T13:52:29,10853.58,-276693.4819,8142572.361,-4447.43805
489375377,200,77.7,22.0,01035:12:48:45:80822,2015-07-05T13:52:49,10853.75,-276692.9487,8142573.121,-4447.305694
489375397,201,79.4,23.83,01035:12:49:05:27329,2015-07-05T13:53:09,10853.93,-276692.9487,8142573.121,-4447.305694
489375417,200,79.55,26.25,01035:12:49:24:73836,2015-07-05T13:53:29,10854.1,-276692.9487,8142573.121,-4447.305694
489375437,201,82.34,23.73,01035:12:49:44:20343,2015-07-05T13:53:49,10854.28,-276692.5534,8142573.64,-4447.217641
489375458,200,83.75,24.3,01035:12:50:04:64175,2015-07-05T13:54:10,10854.45,-276692.5534,8142573.64,-4447.217641
489375478,201,82.74,23.88,01035:12:50:24:10682,2015-07-05T13:54:30,10854.63,-276692.5534,8142573.64,-4447.217641
489375498,200,83.65,23.15,01035:12:50:43:57189,2015-07-05T13:54:50,10854.8,-276692.4939,8142573.714,-4447.194678
489375518,201,82.29,22.59,01035:12:51:03:03696,2015-07-05T13:55:10,10854.98,-276692.4939,8142573.714,-4447.194678
489375538,200,79.1,24.3,01035:12:51:22:50203,2015-07-05T13:55:30,10855.15,-276692.4939,8142573.714,-4447.194678
489376600,201,82.79,26.47,01035:13:08:36:09723,2015-07-05T14:13:12,10855.33,-276692.4939,8142573.714,-4447.194678
489376620,200,82.95,24.95,01035:13:08:55:56230,2015-07-05T14:13:32,10855.5,-276692.4939,8142573.714,-4447.194678
489376640,200,86.15,23.15,01035:13:09:15:02737,2015-07-05T14:13:52,10855.68,-276692.4939,8142573.714,-4447.194678
489376660,201,80.6,22.24,01035:13:09:34:49244,2015-07-05T14:14:12,10855.85,-276692.4939,8142573.714,-4447.194678
489376680,200,73.25,21.0,01035:13:09:53:95751,2015-07-05T14:14:32,10855.85,-276692.4939,8142573.714,-4447.194678
489376700,200,69.7,23.3,01035:13:10:13:42258,2015-07-05T14:14:52,10855.85,-276692.4939,8142573.714,-4447.194678
489376721,200,70.15,22.5,01035:13:10:33:86090,2015-07-05T14:15:13,10855.85,-276691.777,8142574.754,-4447.09
489376741,201,64.68,21.09,01035:13:10:53:32597,2015-07-05T14:15:33,10855.85,-276691.777,8142574.754,-4447.09
489376761,200,72.6,22.0,01035:13:11:12:79104,2015-07-05T14:15:53,10855.85,-276691.777,8142574.754,-4447.09
489376781,200,72.1,20.0,01035:13:11:32:25611,2015-07-05T14:16:13,10855.85,-276691.777,8142574.754,-4447.09
489376801,200,69.5,22.65,01035:13:11:51:72118,2015-07-05T14:16:33,10855.85,-276691.777,8142574.754,-4447.09
489376821,200,67.65,22.45,01035:13:12:11:18625,2015-07-05T14:16:53,10855.85,-276691.777,8142574.754,-4447.09
489376841,200,71.75,20.0,01035:13:12:30:65132,2015-07-05T14:17:13,10855.85,-276691.777,8142574.754,-4447.09
489376861,200,70.4,22.4,01035:13:12:50:11639,2015-07-05T14:17:33,10855.85,-276691.777,8142574.754,-4447.09
489376881,200,71.5,22.05,01035:13:13:09:58146,2015-07-05T14:17:53,10855.85,-276691.777,8142574.754,-4447.09
489376901,200,73.2,23.5,01035:13:13:29:04653,2015-07-05T14:18:13,10855.85,-276691.777,8142574.754,-4447.09
489376921,201,68.81,20.85,01035:13:13:48:51160,2015-07-05T14:18:33,10855.85,-276691.777,8142574.754,-4447.09
489376941,200,68.05,22.0,01035:13:14:07:97667,2015-07-05T14:18:53,10855.85,-276691.777,8142574.754,-4447.09
489376961,201,68.36,20.95,01035:13:14:27:44174,2015-07-05T14:19:13,10855.85,-276691.777,8142574.754,-4447.09
489376981,200,72.25,22.1,01035:13:14:46:90681,2015-07-05T14:19:33,10855.85,-276691.777,8142574.754,-4447.09
489377001,201,73.58,23.08,01035:13:15:06:37188,2015-07-05T14:19:53,10855.85,-276691.777,8142574.754,-4447.09
489377021,200,69.2,21.85,01035:13:15:25:83695,2015-07-05T14:20:13,10855.85,-276691.777,8142574.754,-4447.09
489377041,201,72.59,21.29,01035:13:15:45:30202,2015-07-05T14:20:33,10855.85,-276691.777,8142574.754,-4447.09
489377061,200,70.0,22.55,01035:13:16:04:76708,2015-07-05T14:20:53,10855.85,-276691.777,8142574.754,-4447.09
489377081,201,70.65,19.85,01035:13:16:24:23215,2015-07-05T14:21:13,10855.85,-276691.777,8142574.754,-4447.09
489377101,200,70.5,19.85,01035:13:16:43:69722,2015-07-05T14:21:33,10855.85,-276691.777,8142574.754,-4447.09
489377121,201,68.51,22.74,01035:13:17:03:16229,2015-07-05T14:21:53,10855.85,-276691.777,8142574.754,-4447.09
489377142,200,71.6,22.7,01035:13:17:23:60062,2015-07-05T14:22:14,10855.85,-276691.777,8142574.754,-4447.09
489377162,201,71.29,21.14,01035:13:17:43:06569,2015-07-05T14:22:34,10855.85,-276691.777,8142574.754,-4447.09
489377182,201,68.86,20.55,01035:13:18:02:53076,2015-07-05T14:22:54,10855.85,-276691.777,8142574.754,-4447.09
489377202,200,69.6,19.9,01035:13:18:21:99583,2015-07-05T14:23:14,10855.85,-276691.777,8142574.754,-4447.09
489377222,201,70.8,22.14,01035:13:18:41:46090,2015-07-05T14:23:34,10855.85,-276691.777,8142574.754,-4447.09
489377242,200,72.15,23.3,01035:13:19:00:92597,2015-07-05T14:23:54,10855.85,-276691.777,8142574.754,-4447.09
489377262,201,72.84,20.6,01035:13:19:20:39104,2015-07-05T14:24:14,10855.85,-276691.777,8142574.754,-4447.09
489377282,200,71.85,20.65,01035:13:19:39:85610,2015-07-05T14:24:34,10855.85,-276691.777,8142574.754,-4447.09
489377302,200,67.0,21.0,01035:13:19:59:32117,2015-07-05T14:24:54,10855.85,-276691.777,8142574.754,-4447.09
489377322,200,70.55,21.3,01035:13:20:18:78624,2015-07-05T14:25:14,10855.85,-276691.777,8142574.754,-4447.09
489377342,201,73.43,20.95,01035:13:20:38:25131,2015-07-05T14:25:34,10855.85,-276691.777,8142574.754,-4447.09
489377362,200,69.35,21.6,01035:13:20:57:71638,2015-07-05T14:25:54,10855.85,-276691.777,8142574.754,-4447.09
489377382,200,75.5,20.85,01035:13:21:17:18145,2015-07-05T14:26:14,10855.85,-276691.777,8142574.754,-4447.09
489377402,200,71.4,24.2,01035:13:21:36:64652,2015-07-05T14:26:34,10855.85,-276691.777,8142574.754,-4447.09
489377422,200,71.25,21.55,01035:13:21:56:11159,2015-07-05T14:26:54,10855.85,-276691.777,8142574.754,-4447.09
489377442,200,67.9,22.75,01035:13:22:15:57666,2015-07-05T14:27:14,10855.85,-276691.777,8142574.754,-4447.09
489377462,201,69.05,22.14,01035:13:22:35:04173,2015-07-05T14:27:34,10855.85,-276691.777,8142574.754,-4447.09
489377482,200,74.05,21.85,01035:13:22:54:50680,2015-07-05T14:27:54,10855.85,-276691.777,8142574.754,-4447.09
489377502,200,67.75,22.5,01035:13:23:13:97187,2015-07-05T14:28:14,10855.85,-276691.777,8142574.754,-4447.09
489377523,200,70.55,21.2,01035:13:23:34:41019,2015-07-05T14:28:35,10855.85,-276691.777,8142574.754,-4447.09
489377543,201,68.11,22.09,01035:13:23:53:87526,2015-07-05T14:28:55,10855.85,-276691.777,8142574.754,-4447.09
489377563,200,74.2,21.75,01035:13:24:13:34033,2015-07-05T14:29:15,10855.85,-276691.777,8142574.754,-4447.09
489377583,200,73.7,22.05,01035:13:24:32:80540,2015-07-05T14:29:35,10855.85,-276691.777,8142574.754,-4447.09
489377603,200,70.95,20.55,01035:13:24:52:27047,2015-07-05T14:29:55,10855.85,-276691.777,8142574.754,-4447.09
489377623,200,73.2,20.45,01035:13:25:11:73554,2015-07-05T14:30:15,10855.85,-276691.777,8142574.754,-4447.09
489377643,200,70.35,20.8,01035:13:25:31:20061,2015-07-05T14:30:35,10855.85,-276691.777,8142574.754,-4447.09
489377663,200,70.75,21.4,01035:13:25:50:66568,2015-07-05T14:30:55,10855.85,-276691.777,8142574.754,-4447.09
